"","S1.sorted.bam","S2.sorted.bam","S3.sorted.bam","S4.sorted.bam","S5.sorted.bam","S6.sorted.bam"
"19921",11724,9423,9552,10099,10374,9057
"217154",450,394,390,404,360,360
"72194",1062,800,809,943,764,724
"19014",1483,1024,997,1252,968,1090
"69131",1166,856,701,989,690,831
"100628613",0,1,0,0,1,0
"18013",1,2,1,2,0,1
"19049",0,1,1,2,0,0
"69338",0,0,0,0,0,0
"59045",405,307,352,316,318,283
"21393",6528,5792,6302,5861,6699,5864
"18948",47,35,59,42,38,47
"320655",122,99,109,128,154,114
"13866",3438,2646,2586,3053,2494,2682
"103742",592,502,514,485,598,465
"14786",0,4,0,1,1,0
"100862101",0,0,0,0,0,0
"22780",0,0,0,0,1,0
"69376",1,1,0,1,0,0
"66612",1404,1130,1153,1098,1117,1017
"192852",0,0,0,0,0,0
"450219",0,0,0,0,0,0
"76758",0,0,0,0,0,0
"57911",6,2,3,4,3,2
"100502779",9,7,5,1,3,4
"22123",3734,2951,3151,3200,3188,2992
"12985",1,1,0,0,3,2
"23989",1195,997,1058,985,975,952
"21833",532,412,417,421,408,411
"217166",1134,980,1012,1017,903,870
"74026",1967,1650,1764,1833,1810,1565
"100037262",15,10,16,8,11,4
"192160",722,571,578,585,567,470
"268480",280,209,208,242,199,195
"68524",353,273,255,288,264,263
"23834",7,2,4,5,5,3
"19401",835,630,759,773,716,666
"353155",0,1,0,0,0,0
"21973",43,44,26,34,32,21
"16010",198,147,210,187,204,171
"217169",0,2,0,2,0,2
"12775",0,2,1,3,0,0
"100862109",0,0,0,0,0,0
"57376",2804,2278,2309,2395,2229,2062
"268481",13,7,10,6,7,8
"75706",1,0,0,0,0,0
"70810",0,0,0,0,0,0
"320864",0,0,0,0,0,0
"16675",0,0,0,0,0,0
"70843",1,0,0,0,0,1
"16661",34,41,39,55,60,34
"100504165",0,0,0,0,0,0
"268482",0,1,2,4,3,1
"66809",1,0,2,0,3,0
"94179",0,0,0,0,0,0
"237934",0,0,0,0,0,0
"406221",0,0,0,0,0,0
"66380",0,0,0,0,0,0
"66708",0,0,0,0,0,0
"69473",0,0,0,0,0,0
"69664",0,0,0,0,0,1
"629873",2,0,0,0,0,0
"435273",0,0,0,0,0,0
"75586",0,0,0,0,0,0
"100041412",0,0,0,1,0,0
"100041488",2,0,1,0,0,0
"71453",1,0,0,0,0,0
"100502803",0,0,0,0,0,0
"665891",0,0,0,0,0,0
"68673",0,0,1,0,1,0
"76444",0,0,0,0,0,0
"546511",0,0,0,0,0,0
"100040248",0,0,0,0,0,0
"68768",0,0,0,0,0,0
"100040276",0,0,0,0,0,0
"665992",0,0,0,0,0,0
"665998",0,0,0,0,0,0
"670464",0,0,0,0,0,0
"670472",0,0,0,0,0,0
"670482",0,0,0,0,0,0
"69464",0,0,0,0,0,0
"670496",0,0,0,0,0,0
"100502865",0,0,0,0,0,0
"435285",0,0,0,0,0,0
"432600",0,0,0,0,0,0
"100415785",0,0,0,0,0,0
"16705",0,0,0,0,0,0
"670533",0,0,0,0,0,0
"70831",0,0,0,0,0,0
"670550",0,0,0,0,0,0
"432602",0,0,0,0,0,0
"435286",0,0,0,0,0,0
"100504183",0,1,2,0,0,0
"77914",0,0,0,0,0,0
"71888",0,0,0,0,2,0
"16671",32,33,40,42,34,42
"16672",1,1,1,2,1,0
"16660",72,53,59,55,61,53
"16670",0,0,0,0,0,0
"53617",0,0,0,0,0,0
"16673",0,0,0,0,0,0
"16663",3,5,3,1,8,2
"16665",0,0,1,0,1,0
"16669",203,196,184,191,214,198
"107656",0,0,0,0,1,0
"16664",0,0,0,0,0,0
"16666",0,0,0,0,0,0
"16667",0,0,0,0,0,0
"68239",0,0,0,0,0,0
"20918",7257,5912,6197,6386,6634,5744
"14459",0,0,0,0,0,0
"15114",29,22,39,18,28,25
"16480",5706,4873,5092,4826,4700,4836
"66180",1120,900,1149,928,1000,962
"14230",1345,949,1248,1247,1113,1093
"68106",332,290,367,345,342,323
"66720",4,6,4,11,7,5
"217194",130,118,122,116,101,104
"104112",4223,3108,3030,3899,3476,3466
"74407",54,47,41,40,43,39
"12799",445,370,432,419,381,367
"56354",4177,3382,3468,3682,3578,3161
"100502925",87,53,69,67,59,65
"71966",627,490,434,521,486,441
"278304",34,28,39,50,39,32
"80861",27,26,35,24,35,34
"14534",886,720,750,863,761,690
"75482",6,8,0,2,4,3
"19345",1759,1319,1479,1478,1589,1356
"380728",2,3,3,3,1,6
"15171",0,0,0,0,0,0
"80860",450,325,413,406,385,374
"20851",1361,1157,1070,1303,1118,1131
"20850",829,650,671,814,619,638
"20848",3353,2486,2646,2869,2497,2773
"19285",8530,6561,6934,7524,7442,6731
"11975",2419,1934,1942,2187,1913,1944
"27419",196,114,157,193,170,170
"15485",3,3,1,1,3,1
"71743",461,303,375,329,379,363
"21428",458,361,405,371,387,328
"19183",57,38,39,55,42,39
"67998",1189,940,949,1028,966,942
"103733",773,743,771,740,656,677
"103768",63,50,57,57,48,37
"217198",532,403,510,454,464,433
"12777",10,9,5,5,11,6
"53321",50,28,44,32,27,39
"14055",702,558,558,646,561,540
"54409",1,0,2,1,2,1
"28084",652,530,583,593,624,467
"69847",22,18,27,21,26,14
"52469",698,508,575,619,651,575
"68107",7,7,5,14,8,6
"56208",1819,1414,1480,1591,1492,1478
"19192",2222,1806,1775,2240,1999,1807
"237940",56,43,72,60,39,28
"11754",9,3,2,4,1,5
"14377",0,0,0,0,0,0
"69684",243,201,211,190,202,180
"73635",1251,943,945,979,1037,930
"217201",260,203,211,223,187,235
"100862158",0,0,0,0,0,0
"19942",4653,3970,4066,4235,4267,3525
"70110",208,150,200,136,134,150
"26949",2303,1707,1768,2244,2121,1813
"100862149",7,0,6,0,2,2
"11858",135,94,116,100,101,112
"12189",15,8,19,29,7,15
"17966",4921,3894,3813,4282,3691,3682
"217203",21,16,21,32,25,19
"666331",0,0,0,0,0,0
"66599",49,38,32,45,40,30
"19848",3,0,3,0,1,2
"80981",27,28,20,21,25,23
"217207",967,787,745,958,707,746
"18612",235,190,191,171,192,135
"17285",183,143,156,95,184,142
"73887",0,0,0,0,0,0
"74499",5,10,7,8,3,3
"72349",7414,6389,5713,6218,5879,5995
"75437",0,0,0,0,0,0
"13384",370,307,383,383,359,239
"52685",0,0,0,0,0,0
"50997",113,106,144,129,103,98
"19064",1,0,0,0,0,0
"217212",0,0,0,0,0,0
"217214",0,0,3,1,1,0
"76547",379,301,334,256,329,283
"268490",839,615,671,721,704,608
"68401",658,501,558,592,550,470
"15184",2280,1951,1897,2027,2107,1909
"217216",3,1,1,3,0,1
"217217",253,250,195,248,255,220
"72053",688,554,568,530,625,503
"217218",1496,1110,1271,1301,1248,1113
"21429",2191,1858,1835,1929,1949,1773
"20533",0,0,0,0,2,1
"51799",499,396,456,400,381,364
"68066",1078,948,947,1077,1113,886
"14824",3265,2507,2721,2972,3021,2669
"217219",5957,5030,5549,6026,6203,5561
"16399",207,159,170,178,183,129
"237943",1244,1057,995,1137,879,901
"100040792",12,13,21,15,13,11
"57265",1811,1522,1879,1873,1863,1687
"77132",21,11,17,10,11,15
"268491",9,6,7,4,5,6
"52715",1377,1092,1084,1242,1116,1006
"11488",19,16,22,17,20,13
"14615",63,42,46,52,48,38
"75689",0,0,0,0,1,0
"20624",1828,1474,1377,1573,1396,1457
"73293",21,19,14,16,21,7
"66784",2,0,2,1,0,0
"14580",4,2,1,8,2,1
"70218",8,3,13,5,10,4
"23829",3,1,1,0,0,0
"69739",0,0,0,0,0,0
"68087",1413,1160,1226,1206,1195,1087
"100862190",32,32,33,29,32,27
"18107",2579,2281,2329,2365,2238,2203
"72469",211,181,221,184,182,173
"67131",224,168,197,166,196,170
"192231",1275,988,1076,1127,1023,1009
"71059",109,119,130,123,151,109
"57778",822,722,874,833,679,669
"69441",3,0,5,1,1,1
"328019",1,0,0,0,1,0
"53859",535,439,404,446,386,379
"100862195",0,0,0,0,0,0
"544817",51,50,51,71,37,45
"653030",1,0,0,0,0,0
"353047",752,594,559,639,561,575
"237954",0,0,0,0,0,0
"380730",1,0,0,0,0,0
"69444",1,1,1,0,0,0
"104582",15,8,19,12,19,7
"56494",1988,1514,1454,1835,1512,1567
"399609",53,38,52,44,43,60
"22412",0,0,0,0,0,1
"22415",8,13,6,11,11,12
"18195",645,458,450,587,443,495
"667631",3,0,7,2,0,1
"11841",532,396,390,440,397,385
"12921",0,1,0,2,1,0
"237958",0,0,0,0,0,0
"17762",418,341,373,335,299,299
"100303739",2,1,2,2,2,1
"76719",1012,764,825,894,775,815
"100862243",0,0,0,0,0,0
"217232",2085,1610,1430,1707,1479,1512
"17896",86939,73113,77098,82531,84437,74613
"629959",8,4,9,4,4,3
"16416",85,49,72,88,66,69
"70894",9,7,7,5,11,2
"52686",315,206,248,263,250,201
"73431",105,109,71,110,92,78
"24086",1581,1393,1237,1452,1332,1189
"17534",2534,1692,1871,2162,1809,1672
"632687",6,3,3,2,1,3
"77097",798,519,440,586,348,496
"13056",13,11,10,14,7,12
"11421",51,33,39,41,41,31
"192775",4,2,1,1,0,1
"71833",2804,2165,1963,2449,2194,2102
"70207",494,436,431,477,427,393
"26406",552,470,455,498,436,392
"67803",295,215,258,259,256,235
"72149",514,429,483,455,427,370
"67163",3522,2627,2807,2837,2731,2460
"72047",1760,1330,1344,1589,1342,1257
"56095",2263,1787,1803,1952,1898,1770
"19184",4274,3487,3601,3633,3797,3352
"83796",398,292,336,315,303,292
"75870",4,0,4,4,3,1
"100862279",0,0,0,0,0,0
"14599",1,0,0,0,0,0
"15985",3,3,1,0,1,2
"110880",3016,2344,2142,2466,1933,2148
"75573",32,21,24,33,29,42
"15896",7,4,6,4,8,5
"78943",281,200,194,289,170,213
"100216537",8,8,17,12,10,12
"21763",901,737,706,807,737,666
"18613",2,0,2,2,2,2
"380732",132,102,109,101,91,93
"50776",90,67,61,51,49,68
"13207",9598,7201,7364,8401,7490,6781
"100526469",50,43,36,33,29,20
"320162",251,210,204,225,198,161
"66313",1230,1041,888,1211,876,996
"16647",1220,953,936,997,926,909
"69066",5,11,3,13,11,15
"207165",3091,2313,1833,2591,1663,2243
"100503350",0,0,1,0,1,0
"68979",800,628,613,715,594,560
"100503362",3,0,1,2,0,0
"71795",344,234,235,278,214,253
"100503397",0,0,0,0,0,0
"66997",3204,2639,2460,2648,2605,2338
"442842",0,0,0,0,0,0
"78455",684,520,405,580,424,575
"12299",4429,3841,3558,4383,4379,3861
"54377",2,1,5,3,3,5
"100503414",0,0,0,0,0,0
"140723",0,0,1,0,0,1
"18750",602,474,479,570,409,567
"100862332",0,0,0,0,0,0
"11818",4,0,3,2,2,1
"76380",48,56,37,56,61,49
"100503430",0,0,0,0,0,0
"12006",381,281,308,311,315,305
"268498",0,0,0,0,0,0
"19739",23,24,16,23,10,12
"67927",1,0,0,2,2,0
"100036768",9,7,8,6,5,7
"14674",1424,1016,931,1163,1023,1005
"320509",0,0,1,0,0,1
"13929",703,531,501,595,597,537
"100503496",1,0,1,2,3,0
"104681",64,44,24,56,65,40
"74008",58,61,57,43,56,38
"52639",3785,3231,3135,3315,3196,3075
"19084",30978,26200,24578,26979,25972,23541
"208659",317,211,299,283,305,251
"69324",0,1,0,1,0,0
"73257",0,0,0,0,0,0
"27404",244,172,152,232,156,165
"217258",19,10,14,9,16,9
"217262",5,1,7,5,5,7
"76184",4,4,0,5,2,1
"100862355",0,0,0,0,0,0
"217265",503,396,338,436,317,341
"26399",56,30,35,21,26,28
"16517",1,1,1,2,0,0
"16518",847,589,645,650,698,599
"629967",1,0,0,0,0,0
"217294",0,2,1,2,0,0
"20682",603,462,607,542,601,515
"100038732",2,0,0,0,1,1
"71203",0,0,1,0,0,0
"72386",37,23,38,37,26,31
"319871",0,1,0,0,0,0
"69806",188,151,142,192,154,135
"20606",11,11,4,5,7,3
"16834",859,659,577,701,620,575
"28081",1097,981,1049,1063,1144,943
"276852",234,200,191,232,196,175
"52670",19,8,9,7,5,10
"56699",415,403,351,428,373,361
"237979",13,10,5,9,10,7
"73536",0,0,0,0,0,0
"319819",0,0,0,0,0,0
"67671",2633,2210,2213,2245,2494,2049
"117160",1569,1220,1267,1360,1153,1158
"432611",9,12,13,5,11,6
"286942",76,61,55,81,68,57
"72014",60,41,72,71,65,54
"217302",1,2,2,2,1,2
"70355",6699,5439,4951,5613,4891,4951
"217303",39,19,31,33,27,28
"217304",23,21,27,18,18,18
"387565",363,261,235,317,263,228
"217305",0,0,0,0,0,0
"140497",0,0,0,0,0,0
"629970",0,0,0,0,0,0
"100043123",2,0,0,5,1,1
"100043125",1,1,0,5,0,1
"382551",5,4,1,6,0,2
"217306",2,0,0,1,0,0
"58222",4,2,4,2,4,5
"246746",0,4,3,2,2,0
"26941",518,369,398,336,354,344
"66176",272,228,217,253,267,235
"320534",389,269,269,312,252,278
"14813",0,2,0,1,0,2
"14149",116,82,103,105,90,93
"328035",19,12,16,23,16,11
"237987",1,0,0,0,0,0
"16470",0,1,0,0,0,0
"69602",0,0,0,0,0,0
"217310",1353,1074,1108,1166,1076,1078
"237988",520,347,405,437,398,375
"68572",425,368,420,399,385,357
"71679",2994,2606,2527,2699,2694,2311
"70382",256,225,234,248,205,199
"432613",0,0,0,0,0,0
"100628623",0,0,0,0,0,0
"217316",14,12,14,9,7,13
"276905",65,40,46,56,67,50
"50773",297,292,301,299,318,298
"100503567",0,0,0,0,0,2
"15374",5835,4599,4509,5102,5383,4545
"170930",2157,1630,1626,1902,1815,1562
"445007",520,393,437,467,432,421
"260302",754,651,669,633,624,557
"50529",1176,936,982,1066,1101,977
"69674",179,145,196,168,179,167
"67283",277,250,250,229,258,237
"14784",3721,3106,3166,3078,3261,2890
"100503586",15,8,13,3,13,6
"100043184",166,270,276,304,277,273
"71947",851,626,729,799,693,653
"140721",1019,805,804,866,782,714
"76265",258,222,209,239,198,195
"217325",62,29,49,46,41,42
"217328",7,9,12,5,5,7
"100861625",13,9,13,13,4,7
"170472",406,284,355,360,341,287
"66528",292,206,244,251,295,258
"68528",41,18,19,25,32,18
"57230",752,581,591,679,664,600
"100503650",9,15,14,13,7,13
"192897",106,79,127,116,76,89
"100038636",1,0,5,7,2,2
"14635",767,593,704,665,663,531
"100503677",4,2,7,2,6,10
"15081",20,22,20,18,30,13
"217331",264,191,270,217,212,201
"70450",351,337,297,325,298,295
"22378",2001,1540,1679,1908,1700,1593
"217333",525,483,541,514,554,499
"338364",30,27,17,25,24,26
"60441",1127,935,954,961,988,894
"217335",1052,784,756,929,821,729
"11430",3767,2928,2743,3272,2802,2791
"69535",267,212,239,235,217,195
"69681",9,3,8,8,4,4
"14027",35,24,13,20,26,18
"217337",2703,2335,2452,2549,2334,2228
"14428",110,84,97,80,66,60
"53413",1289,1075,1040,1178,909,935
"15223",4,4,2,2,2,1
"217340",197,184,138,181,129,156
"319370",288,238,330,344,330,248
"217341",1,2,2,0,1,0
"67763",747,574,669,648,721,619
"20698",177,116,119,165,174,128
"217342",1609,1199,1200,1382,1164,1286
"11298",0,1,1,1,0,1
"217344",447,349,372,409,360,332
"114886",63,48,70,83,53,58
"100038570",5,0,7,4,2,1
"66293",76,63,83,71,93,41
"100216536",3,2,2,2,1,2
"100216531",1,0,0,0,1,0
"100216538",0,0,0,0,0,0
"20446",12,8,7,8,5,3
"634720",0,0,0,0,0,0
"193217",0,0,0,0,0,0
"20445",1,0,2,0,0,0
"67622",1328,1038,1110,1209,1157,1091
"107817",1427,1239,1260,1299,1365,1149
"74319",349,283,301,288,293,256
"20382",1734,1391,1530,1516,1563,1363
"69900",1223,856,888,955,941,887
"268510",29,26,21,14,25,29
"76972",109,62,70,81,79,63
"74136",4208,3258,3281,3749,3283,3160
"53860",7323,5763,5960,6268,5928,5733
"78403",7,14,9,14,15,4
"217351",1265,879,795,1042,783,934
"217353",847,712,794,776,657,607
"217356",6,6,8,14,6,9
"77727",4,2,1,0,0,4
"20973",1732,1460,1663,1474,1594,1415
"21877",87,69,58,73,46,53
"71562",176,145,158,151,134,106
"11799",13,11,18,15,25,12
"546519",0,0,0,0,0,0
"71776",26,26,31,31,27,17
"100503754",0,0,0,3,0,2
"12702",124,86,122,108,109,71
"100861684",0,0,0,2,0,0
"74451",1019,862,839,895,909,854
"69926",25,15,28,8,19,8
"791367",6,1,5,1,5,5
"100503797",0,0,0,0,0,1
"19157",627,553,573,549,544,488
"72344",756,587,642,689,610,518
"21858",19151,15010,15004,17770,15621,15595
"58251",86,61,36,47,46,43
"100861706",0,0,0,0,0,0
"19039",234,176,186,164,115,227
"76025",650,561,637,590,575,537
"56745",23,20,27,9,15,22
"100126224",0,0,0,0,0,0
"217364",81,86,87,97,73,68
"52897",3,3,2,3,1,2
"238011",0,0,0,0,0,0
"12416",133,105,109,129,120,136
"30951",122,89,107,94,91,88
"12418",304,258,266,273,263,205
"207592",658,528,492,540,484,467
"207607",2,5,8,4,3,4
"14387",7436,5923,6172,6727,5993,6071
"192170",2057,1757,1692,1816,1858,1697
"170720",41,34,33,48,40,25
"27029",232,124,157,236,167,182
"268512",164,108,140,137,148,103
"100316690",1,1,1,0,2,3
"672511",486,379,231,510,192,492
"338371",331,251,269,329,298,236
"18164",1602,1249,1233,1312,1089,1202
"100503830",6,5,6,4,4,3
"74370",3686,3121,2679,3259,2596,2851
"319454",4,3,1,1,1,3
"208092",340,268,251,289,288,304
"100861714",0,0,0,0,0,0
"108100",210,177,167,227,179,181
"11302",102,105,108,135,129,103
"723844",0,0,0,0,0,0
"100526518",0,0,0,0,0,0
"12009",543,400,506,428,461,355
"78777",365,251,278,271,320,235
"208501",125,117,102,127,143,124
"72055",3098,2510,2710,2968,2720,2571
"100861721",0,1,1,1,2,0
"76377",15,13,13,12,23,12
"100042332",37,34,40,32,44,35
"268515",546,422,371,535,359,402
"100503912",6,5,8,8,9,5
"100503938",2,0,2,3,4,0
"11465",7535,5349,5969,6399,6023,5126
"66838",17,21,28,21,25,19
"238021",18,8,14,12,6,13
"71885",209,154,182,187,150,168
"217365",4190,3421,3204,3605,3192,3298
"208634",1,0,0,0,0,0
"18588",7,2,1,4,1,4
"66431",73,55,71,77,83,79
"67291",294,217,262,284,235,199
"70317",272,229,243,231,232,183
"15239",1893,1506,1450,1754,1620,1545
"56282",946,774,835,844,835,810
"100861766",2,0,5,1,0,2
"27376",515,438,423,355,401,347
"667716",0,0,0,0,0,0
"14527",0,2,0,1,0,0
"192173",855,741,793,850,822,723
"68701",122,93,131,93,115,104
"100504013",3,0,0,3,1,0
"18453",6319,4948,4928,5686,4910,4801
"192662",6123,5067,5190,5860,5552,5238
"21681",491,417,402,448,457,379
"66156",500,399,384,372,502,331
"208990",1,1,4,1,1,0
"68671",1597,1216,1347,1409,1360,1247
"209011",260,203,288,233,261,218
"17134",794,593,575,671,574,571
"100504040",49,39,34,45,52,32
"209027",252,174,183,196,192,189
"68515",251,202,240,239,229,244
"77583",5,4,4,1,3,8
"68938",570,456,476,542,569,473
"20892",228,175,226,214,223,170
"217366",397,310,380,361,344,238
"170758",53,31,45,47,30,39
"67880",213,125,145,185,167,175
"12409",78,72,66,56,40,52
"111241",883,729,799,906,897,746
"19719",507,373,487,430,428,372
"209318",1939,1478,1588,1717,1698,1590
"68730",643,509,519,572,557,498
"100861787",2,0,1,0,3,0
"14104",5226,3585,3257,4489,3086,3807
"71276",107,85,96,110,69,76
"80879",908,760,1096,886,955,921
"104318",2742,2268,2277,2406,2268,2135
"12516",0,0,0,0,0,0
"58210",1,0,0,0,0,0
"209588",8,7,5,5,8,9
"637008",8,5,6,4,3,4
"70956",0,0,0,0,0,2
"73679",0,0,0,0,0,0
"217369",34,21,27,31,45,27
"66179",153,118,146,119,136,116
"238023",354,362,344,365,397,377
"217370",382,290,312,358,320,287
"67608",2145,1756,1715,1992,1641,1840
"68837",1984,1673,1666,1865,1728,1709
"66840",1130,982,942,1106,1016,855
"217371",2158,1778,1701,1992,1792,1818
"238024",464,318,406,347,431,344
"63828",1216,970,996,1187,1111,884
"108903",1505,1149,1264,1328,1147,1052
"319530",10,5,9,12,11,12
"210004",113,84,78,108,108,73
"210029",289,277,274,291,316,250
"74675",0,0,0,0,0,0
"674842",0,0,0,0,0,0
"74173",137,83,107,104,73,79
"19325",5768,4688,4527,5264,4762,4623
"16570",1212,929,996,1040,866,963
"100043040",192,133,121,168,138,119
"75302",1041,805,738,967,596,743
"13528",97,64,79,80,74,85
"100503871",18,8,14,13,12,7
"13435",1131,880,869,974,780,850
"100038522",2,1,0,0,1,2
"18976",12,9,6,13,9,8
"668212",225,157,171,217,169,207
"217378",496,469,395,453,371,394
"104111",152,119,122,143,113,144
"52504",41,38,28,29,31,28
"69709",59,64,50,59,52,48
"17977",1110,901,728,903,760,894
"100041995",0,2,0,0,0,0
"100042014",43,24,25,31,40,33
"20403",1396,1063,864,1148,850,947
"74855",2,2,3,0,2,1
"207921",9,14,17,20,19,15
"382562",10,12,15,18,12,27
"626534",174,118,148,162,169,155
"66055",584,428,507,549,525,465
"14226",28,21,33,31,35,24
"238037",208,162,138,202,141,165
"432628",8,10,6,14,6,5
"217379",960,774,648,873,736,715
"320817",768,599,559,696,462,535
"208439",336,251,250,298,261,280
"72669",10,16,11,15,13,13
"672098",0,0,0,0,0,0
"73575",0,0,0,0,0,0
"238055",5,1,1,1,1,1
"68832",634,477,485,530,503,509
"238057",1,4,3,3,3,1
"58240",459,368,368,453,400,407
"724112",15,10,16,8,3,6
"11852",7055,5653,5741,6340,6279,5402
"328059",32,25,15,24,14,26
"80913",3289,2634,2367,3005,2469,2501
"208941",0,1,2,1,0,1
"20969",639,473,589,609,557,557
"100862277",0,0,0,0,0,0
"319503",0,0,0,0,0,0
"17775",14693,11533,12121,12311,11836,11292
"17182",12,6,12,11,6,7
"74682",1176,931,922,911,734,795
"75516",44,35,48,44,46,37
"69420",0,0,0,0,0,0
"23967",68,44,74,70,80,65
"70881",2,1,2,1,3,1
"105014",406,309,323,361,394,366
"238074",4,1,0,0,1,1
"71457",0,0,0,0,0,0
"238076",0,5,1,0,1,0
"56184",0,0,0,0,0,0
"73304",0,0,0,0,0,0
"209334",21,11,11,10,8,15
"67241",1612,1095,1125,1294,1121,1143
"26950",8,4,5,5,2,4
"74712",0,0,0,0,0,0
"209550",0,0,0,0,0,0
"628327",0,0,0,0,0,0
"627110",17,14,8,13,8,19
"76820",703,494,485,530,412,463
"70858",0,0,0,0,1,0
"18109",2,4,4,7,1,1
"104721",3996,3094,3256,3444,3112,3091
"71169",775,538,438,582,433,475
"105005",40,34,43,38,44,26
"791361",0,0,0,0,0,0
"73972",0,0,0,0,0,0
"217410",492,329,372,450,374,376
"14245",1197,918,991,1138,985,1003
"18217",5,3,7,5,5,8
"268527",181,151,137,151,109,123
"50496",1552,1327,1291,1395,1268,1211
"19878",9772,7688,6552,8329,5946,7100
"217430",238,179,161,187,206,179
"73667",3,7,8,5,5,2
"382571",291,245,292,369,293,266
"71853",5622,4488,4427,5184,4925,4244
"68775",50,48,34,42,51,33
"217431",542,440,473,533,465,406
"100526470",0,0,0,0,0,0
"100503365",0,0,0,0,0,0
"18263",3318,2671,2625,3071,2979,2414
"53602",805,596,687,760,722,628
"668525",63,66,65,66,61,66
"245297",1,0,1,0,0,1
"668539",0,0,0,0,0,0
"100043324",178,182,148,187,192,160
"236366",5,5,4,5,3,4
"668558",5,0,1,3,0,2
"668413",0,0,0,0,0,0
"546524",5,0,1,5,2,1
"544848",5,6,5,4,7,6
"629055",0,0,0,0,0,0
"100042706",0,0,0,0,1,0
"100042727",0,0,0,0,0,0
"668605",0,0,0,0,0,0
"100861711",7,3,4,2,4,3
"668455",47,30,37,32,34,25
"100503846",0,0,0,0,0,0
"675713",5,1,2,1,0,3
"69513",19,21,36,22,28,17
"382686",25,23,33,23,28,20
"100503913",0,0,0,0,1,0
"211914",346,288,252,279,230,263
"16413",385,293,304,319,344,327
"54451",858,699,723,764,724,652
"67732",317,211,262,250,240,207
"11491",1481,1142,1127,1213,1048,1067
"22630",1397,1005,1140,1284,1174,1081
"100043407",8,4,11,6,11,6
"628850",0,0,0,1,3,0
"434693",8,2,5,7,8,4
"100043416",0,0,0,1,0,0
"69732",1,3,0,3,0,1
"100862386",0,1,1,0,2,1
"668662",0,0,0,2,0,0
"100861601",0,0,2,2,4,0
"66808",7,4,7,4,4,5
"668714",2,1,3,2,1,0
"21340",170,145,124,159,140,121
"195733",19,16,12,18,12,7
"194655",142,100,130,154,112,129
"12879",21,12,21,12,25,7
"20135",524,396,368,437,365,360
"100861907",0,0,0,0,0,0
"67216",1507,1250,1104,1286,1262,1203
"77480",6038,4525,4187,5077,3554,4302
"15902",120,92,123,105,113,111
"432641",0,0,0,0,0,0
"100502727",0,0,0,0,0,0
"74930",0,1,0,0,0,0
"108089",3,2,6,5,5,2
"58185",40,23,21,43,27,37
"22169",15,10,10,26,15,23
"100504347",0,0,0,0,0,0
"636791",0,0,0,0,0,0
"20666",1706,1286,1379,1773,1625,1329
"328069",0,0,0,0,0,0
"68511",16,18,8,19,15,18
"94041",2,1,0,2,0,0
"71693",3,3,1,2,3,2
"20115",8651,6797,6646,7075,7494,6367
"19819",182,131,156,169,163,185
"104923",672,523,581,586,553,552
"217449",453,337,364,429,354,318
"380752",329,220,241,233,301,233
"100504402",0,0,0,0,0,0
"17933",8,5,3,7,4,3
"328075",0,0,0,0,0,0
"69675",1255,867,905,1120,821,891
"22018",0,2,0,0,0,0
"268534",0,0,0,0,1,0
"69566",0,0,0,0,0,0
"211986",246,171,179,186,194,133
"100294583",0,0,0,1,0,1
"11431",1098,900,831,1007,963,791
"24057",67,28,44,40,55,46
"104943",45,48,37,56,53,39
"629667",0,0,0,0,0,0
"16777",3963,2737,2746,3389,2678,2909
"13382",4136,3363,3381,3546,3440,3326
"13487",1,0,0,0,0,0
"104836",394,306,279,335,239,249
"23985",0,0,0,0,1,0
"12033",313,249,221,330,320,269
"71916",48,31,36,61,52,33
"238123",224,224,131,287,182,206
"73010",0,0,4,0,0,1
"73389",1912,1508,1374,1658,1463,1467
"19088",214,141,151,186,165,167
"100504461",1,0,0,0,0,0
"30955",3,2,3,1,0,0
"100504475",0,0,1,0,1,0
"72123",133,131,121,116,145,115
"59027",561,411,490,576,434,520
"100504486",17,4,13,8,3,6
"74076",51,28,34,33,32,11
"19027",6254,4606,4625,4884,4267,4315
"68764",6,3,4,5,6,7
"320046",64,40,36,59,29,39
"380753",235,141,138,181,155,138
"100504517",2,0,0,2,0,0
"75040",0,0,0,0,0,0
"28071",234,160,161,194,210,175
"114712",0,0,0,0,0,0
"22160",50,46,53,48,57,43
"100861990",66,55,38,72,46,54
"79221",401,324,300,417,313,345
"75456",0,0,2,0,2,0
"217463",1770,1436,1216,1418,1170,1276
"100169866",3,3,1,6,1,2
"751520",0,0,0,0,0,0
"11622",159,128,120,159,124,123
"71581",0,0,0,1,0,1
"403205",0,0,0,0,0,0
"23795",0,0,0,0,0,0
"66109",2578,2195,2388,2317,2171,2273
"100862018",1,1,3,0,3,2
"432649",4,3,1,5,4,2
"66912",1425,1121,1208,1268,1353,1211
"217473",275,190,224,210,172,200
"71156",8,5,9,6,4,9
"66042",0,0,0,0,0,0
"75847",80,84,59,85,87,84
"100628578",0,0,0,0,0,0
"17286",2,1,0,0,0,0
"319660",6,1,2,1,0,2
"217480",5,2,1,2,4,1
"73867",0,0,0,0,0,0
"14009",421,305,297,372,227,276
"11861",711,558,494,574,542,427
"20259",4,5,6,9,6,5
"380755",47,35,40,38,42,34
"15982",873,636,662,808,790,634
"100316693",3,6,5,5,5,4
"629820",12,3,10,7,6,0
"246196",207,152,206,173,191,168
"238130",260,181,138,242,135,174
"93757",36,30,53,43,54,36
"16981",41,32,18,30,22,23
